nflweek,gameDate,otyn,roadTeam,rtTotalScore,rtScore1Q,rtScore2Q,rtScore3Q,rtScore4Q,rtScoreOT,rtFirstDowns,rt3DConv,rt3DAtt,rt4DConv,rt4DAtt,rtTYds,rtRushYds,rtPassYds,rtTO,rtSacks,rtPen,rtPenYds,homeTeam,htTotalScore,htScore1Q,htScore2Q,htScore3Q,htScore4Q,htScoreOT,htFirstDowns,ht3DConv,ht3DAtt,ht4DConv,ht4DAtt,htTYds,htRushYds,htPassYds,htTO,htSacks,htPen,htPenYds
8,2017-10-29,N,CHI,12,0,3,3,6,0,17,8,17,0,1,307,157,150,1,2,4,31,NO,20,7,7,0,6,0,19,2,9,0,0,387,101,286,2,2,7,51
8,2017-10-29,N,ATL,25,7,6,3,9,0,18,5,14,0,0,386,140,246,2,1,6,68,NYJ,20,7,10,0,3,0,15,5,15,1,1,279,43,236,1,3,6,50
8,2017-10-29,N,SF,10,0,0,7,3,0,14,3,15,0,0,238,94,144,2,4,6,69,PHI,33,3,14,10,6,0,19,4,14,1,1,304,112,192,1,3,4,35
8,2017-10-29,N,CAR,17,7,3,0,7,0,14,8,17,0,0,254,100,154,1,0,5,51,TB,3,0,0,3,0,0,16,2,12,0,1,279,85,194,3,3,6,55
8,2017-10-29,N,HOU,38,14,7,3,14,0,25,2,10,1,1,509,142,367,3,5,8,93,SEA,41,14,7,6,14,0,20,5,12,0,0,479,33,446,1,2,10,120
8,2017-10-29,N,DAL,33,7,7,9,10,0,18,5,14,1,1,307,169,138,1,2,8,89,WAS,19,10,3,0,6,0,16,4,13,1,1,285,49,236,3,4,5,32
8,2017-10-29,N,PIT,20,3,7,10,0,0,17,7,14,0,0,392,75,317,2,0,5,37,DET,15,3,9,0,3,0,21,2,12,0,2,482,71,411,1,2,6,57
8,2017-10-30,N,DEN,19,0,3,10,6,0,23,5,13,0,1,364,177,187,5,3,7,53,KC,29,14,3,3,9,0,16,2,12,0,0,276,79,197,2,1,7,69
9,2017-11-02,N,BUF,21,0,7,0,14,0,21,6,16,0,1,307,63,244,3,7,11,99,NYJ,34,7,3,14,10,0,21,6,14,0,0,331,194,137,0,1,10,66
9,2017-11-05,N,BAL,20,3,3,0,14,0,24,6,16,3,4,341,73,268,2,2,6,39,TEN,23,10,6,0,7,0,14,3,11,0,0,257,71,186,1,3,3,39
9,2017-11-05,N,TB,10,0,3,0,7,0,14,4,13,0,0,200,87,113,1,4,7,50,NO,30,9,7,14,0,0,21,7,13,0,0,407,151,256,2,1,4,28
9,2017-11-05,N,LAR,51,7,20,21,3,0,20,6,12,0,1,473,162,311,0,0,6,55,NYG,17,7,3,0,7,0,17,8,16,0,0,319,111,208,3,2,4,52
9,2017-11-05,N,DEN,23,3,6,0,14,0,14,3,13,1,1,226,35,191,2,3,14,105,PHI,51,17,14,13,7,0,25,5,13,2,4,419,197,222,1,2,5,35
9,2017-11-05,N,ATL,17,10,0,0,7,0,17,4,12,0,3,355,53,302,1,2,8,70,CAR,20,0,14,6,0,0,20,4,13,1,2,330,201,129,2,1,5,29
9,2017-11-05,N,CIN,7,0,7,0,0,0,8,1,8,0,0,148,29,119,0,2,8,77,JAX,23,3,10,3,7,0,26,12,18,0,1,408,149,259,1,0,5,50
9,2017-11-05,N,IND,20,7,3,7,3,0,17,4,14,0,0,371,92,279,1,3,6,68,HOU,14,0,7,0,7,0,19,4,14,0,1,288,94,194,1,2,7,74
9,2017-11-05,N,ARI,20,7,7,0,6,0,20,7,16,0,0,368,167,201,2,0,2,25,SF,10,0,3,7,0,0,17,6,17,0,2,329,63,266,2,5,8,53
9,2017-11-05,N,WAS,17,0,7,3,7,0,16,4,13,0,0,244,51,193,1,6,7,62,SEA,14,2,0,0,12,0,22,5,14,0,0,437,148,289,2,2,16,138
9,2017-11-05,N,KC,17,0,10,7,0,0,17,4,11,0,1,323,68,255,1,2,8,52,DAL,28,7,7,7,7,0,24,7,12,0,0,375,131,244,0,1,5,65
9,2017-11-05,N,OAK,27,3,10,7,7,0,20,8,15,0,0,379,84,295,2,1,10,105,MIA,24,0,9,7,8,0,23,5,12,0,1,395,86,309,1,1,11,107
9,2017-11-06,N,DET,30,7,7,3,13,0,24,8,13,0,0,417,64,353,1,1,2,19,GB,17,0,3,0,14,0,21,2,9,0,2,311,78,233,0,3,2,20
10,2017-11-09,N,SEA,22,7,8,0,7,0,14,3,13,0,0,287,75,212,0,5,12,108,ARI,16,0,7,3,6,0,24,6,15,1,3,290,34,256,1,2,9,58
10,2017-11-12,N,NO,47,7,10,20,10,0,32,6,12,2,2,482,298,184,1,0,4,41,BUF,10,3,0,0,7,0,10,2,11,0,1,198,69,129,1,2,8,56
10,2017-11-12,N,GB,23,3,7,3,10,0,18,7,16,1,1,342,160,182,0,3,5,35,CHI,16,3,3,0,10,0,14,4,14,0,1,323,55,268,1,5,8,78
10,2017-11-12,N,CLE,24,10,0,14,0,0,26,5,15,4,4,413,201,212,2,4,7,60,DET,38,3,14,7,14,0,16,5,11,0,0,345,104,241,1,4,7,81
10,2017-11-12,N,CIN,20,6,7,0,7,0,15,1,10,1,1,308,53,255,2,1,12,84,TEN,24,7,10,0,7,0,27,7,15,0,0,416,180,236,2,4,5,55
10,2017-11-12,N,PIT,20,0,3,6,11,0,18,5,13,0,0,316,88,228,1,1,9,70,IND,17,0,10,7,0,0,13,6,15,0,0,267,71,196,1,3,9,82
10,2017-11-12,N,NYJ,10,0,3,0,7,0,15,3,15,1,2,275,56,219,2,6,8,77,TB,15,3,0,6,6,0,17,7,16,0,0,271,90,181,1,1,6,50
