season,week,gameDate,roadTeam,rTotalScore,rScore1Q,rScore2Q,rScore3Q,rScore4Q,rScoreOT,homeTeam,hTotalScore,hScore1Q,hScore2Q,hScore3Q,hScore4Q,hScoreOT
2017,14,2017-12-10,N,TEN,7,0,7,0,0,0,ARI,12,0,0,6,6,0
2017,14,2017-12-10,N,WAS,13,0,6,0,7,0,LAC,30,13,10,7,0,0
2017,14,2017-12-10,N,PHI,43,14,10,7,12,0,LAR,35,7,7,14,7,0
2017,14,2017-12-10,N,SEA,24,0,0,10,14,0,JAX,30,3,0,21,6,0
2017,14,2017-12-10,N,BAL,38,0,14,17,7,0,PIT,39,7,13,0,19,0
2017,14,2017-12-11,N,NE,20,0,10,0,10,0,MIA,27,6,7,14,0,0
2017,15,2017-12-14,N,DEN,25,0,7,15,3,0,IND,13,7,3,3,0,0
2017,15,2017-12-16,N,CHI,10,0,3,0,7,0,DET,20,3,10,7,0,0
2017,15,2017-12-16,N,LAC,13,0,6,7,0,0,KC,30,3,7,10,10,0
2017,15,2017-12-17,N,MIA,16,3,3,0,10,0,BUF,24,7,14,3,0,0
2017,15,2017-12-17,N,BAL,27,3,14,10,0,0,CLE,10,0,10,0,0,0
2017,15,2017-12-17,N,CIN,7,0,0,0,7,0,MIN,34,17,7,3,7,0
2017,15,2017-12-17,N,NYJ,19,0,10,3,6,0,NO,31,10,7,0,14,0
2017,15,2017-12-17,N,PHI,34,7,14,10,3,0,NYG,29,13,10,6,0,0
2017,15,2017-12-17,N,ARI,15,3,6,3,3,0,WAS,20,7,7,3,3,0
2017,15,2017-12-17,N,GB,24,7,7,3,7,0,CAR,31,7,3,14,7,0
2017,15,2017-12-17,N,HOU,7,0,0,7,0,0,JAX,45,7,24,7,7,0
2017,15,2017-12-17,N,LAR,42,13,21,6,2,0,SEA,7,0,0,7,0,0
2017,15,2017-12-17,N,NE,27,7,3,6,11,0,PIT,24,7,10,7,0,0
2017,15,2017-12-17,N,TEN,23,0,10,3,10,0,SF,25,6,10,0,9,0
2017,15,2017-12-17,N,DAL,20,3,7,7,3,0,OAK,17,0,0,10,7,0
2017,15,2017-12-18,N,ATL,24,7,10,0,7,0,TB,21,7,0,7,7,0
2017,16,2017-12-23,N,IND,16,0,7,6,3,0,BAL,23,3,10,3,7,0
2017,16,2017-12-23,N,MIN,16,10,0,3,3,0,GB,0,0,0,0,0,0
2017,16,2017-12-24,N,CLE,3,0,3,0,0,0,CHI,20,6,0,14,0,0
2017,16,2017-12-24,N,DET,17,7,0,3,7,0,CIN,26,0,6,7,13,0
2017,16,2017-12-24,N,LAR,27,6,7,7,7,0,TEN,23,3,10,7,3,0
2017,16,2017-12-24,N,MIA,13,3,10,0,0,0,KC,29,3,17,3,6,0
2017,16,2017-12-24,N,BUF,16,3,10,3,0,0,NE,37,0,13,10,14,0
2017,16,2017-12-24,N,ATL,13,0,0,3,10,0,NO,23,3,10,7,3,0
2017,16,2017-12-24,N,LAC,14,0,7,7,0,0,NYJ,7,0,0,7,0,0
2017,16,2017-12-24,N,DEN,11,3,0,0,8,0,WAS,27,0,10,3,14,0
2017,16,2017-12-24,N,TB,19,3,6,7,3,0,CAR,22,3,9,3,7,0
2017,16,2017-12-24,N,JAX,33,0,16,3,14,0,SF,44,10,6,7,21,0
2017,16,2017-12-24,N,SEA,21,0,7,7,7,0,DAL,12,0,9,3,0,0
2017,16,2017-12-24,N,NYG,0,0,0,0,0,0,ARI,23,3,7,6,7,0
